FLOW STATE	ADR	BRK	BRX	SRX	DRX	SRK	DRK	CCL	PCA	PCB	SHF	IRK	PWE	PAD	BSD	BAX	IBS	SHC	BCT	MSC	BSC	AMX	BMX	KMX	ALU	FEN	BEN	UAD
 9 DVP.00	241	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	00	103
 2 SOB.10	242	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	6	0	3	0	0	2	0	00	262
 9 DVN.60	243	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	00	107
 3 WAT.20	244	1	1	0	0	0	3	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	12	127

12 FSV.00	245	1	1	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	1	7	4	0	0	0	0	0	00	150
 8 MUL.30	246	1	0	0	0	0	1	4	0	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	11	206
 7 ASC.30	247	0	0	0	0	1	2	5	0	0	2	0	2	0	0	0	0	1	0	6	0	2	0	0	7	0	03	136
11 MFP.10	250	0	0	0	0	0	3	0	0	0	2	0	2	7	0	0	0	0	7	0	0	2	0	1	6	0	00	222
 6 D67.10	251	0	0	0	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	6	0	0	3	0	3	0	01	122

 2 MRK.10	252	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	7	0	2	0	0	2	0	00	235
12 BRK.11	253	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	13	100
 9 DIV.10	254	0	0	0	0	0	0	4	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	02	232
 3 RES.10	255	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	4	0	0	0	0	0	2	0	00	374
10 DVC.30	256	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	04	350

 7 ASH.40	257	0	0	0	0	1	0	5	0	0	2	0	2	0	0	1	0	1	0	6	0	2	0	0	5	0	03	126
 1 FET.10	260	1	1	0	0	0	0	0	1	1	2	1	0	0	3	1	0	0	0	6	0	1	0	1	3	0	00	343
 9 DVN.00	261	0	0	1	3	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	2	0	0	2	0	00	104
 2 SOB.20	262	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	7	0	2	0	0	6	0	12	240
 9 DVE.10	263	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	00	145

 3 WAT.10	264	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	6	0	0	0	0	2	0	00	011
 1 FET.09	265	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	3	7	0	2	2	0	6	0	12	240
 8 MUL.20	266	1	0	0	0	0	1	4	0	0	3	0	0	0	0	0	0	1	0	0	0	3	2	0	3	0	11	206
 7 ASC.40	267	0	0	0	0	1	1	1	0	0	3	0	2	0	0	0	0	1	0	6	0	2	0	0	2	0	03	227
14 ADR.00	270	0	0	0	3	1	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	00	230

11 NEG.10	271	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	6	3	0	0	3	0	05	123
 9 DVE.00	272	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	6	0	2	0	0	2	0	00	164
 3 WAT.11	273	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	6	0	0	0	0	2	0	00	011
11 JSR.20	274	0	0	0	0	0	3	0	0	0	2	0	2	7	0	0	0	0	0	0	0	0	0	1	6	0	00	275
11 JSR.30	275	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	5	7	5	0	0	0	0	0	00	300

10 DVC.40	276	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	04	351
 7 ASH.30	277	0	0	0	0	1	0	1	0	0	3	0	2	0	0	1	0	1	0	6	0	2	0	0	2	0	03	237

13 SVC.90	300	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	6	5	3	0	0	2	0	00	217
 3 NEG.70	301	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	7	0	0	0	0	0	7	0	00	210
12 ZAP.30	302	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	00	154
14 DEP.20	303	0	0	0	0	0	3	0	0	0	2	0	0	0	3	2	0	0	0	0	5	3	0	0	2	0	00	230
11 MFP.90	304	1	0	1	0	1	0	1	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	00	250

 7 ASH.20	305	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	1	0	6	0	2	0	0	2	0	03	217
 7 ASC.20	306	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	1	0	6	0	2	0	0	2	0	03	207
14 RDP.10	307	0	0	0	0	0	3	0	1	3	2	0	2	5	0	2	0	0	0	0	0	3	0	0	2	0	00	230
 8 MUL.60	310	0	0	0	0	0	0	1	0	0	2	0	2	4	0	1	0	0	0	7	0	0	0	0	2	0	12	240
 6 D10.50	311	1	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	7	6	2	0	0	2	2	15	157

 5 D12.20	312	0	0	0	0	0	0	1	0	0	2	0	0	5	0	1	0	0	0	7	0	3	0	0	2	0	12	240
 9 DIV.60	313	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	05	145
14 RAD.10	314	0	0	0	2	0	3	0	0	0	1	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	00	230
12 ZAP.20	315	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	00	302
 4 FOP.70	316	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	3	0	0	2	0	17	316

 2 S13.20	317	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	00	143
 1 BXX.00	320	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	7	6	0	1	1	3	3	0	00	217
 1 FET.11	321	1	1	0	0	0	0	0	1	1	2	1	0	0	3	1	0	0	0	6	0	1	0	1	3	0	00	343
 1 FET.12	322	1	1	0	0	0	0	0	1	1	2	1	0	0	3	1	0	0	0	6	0	1	0	1	3	0	00	343
 9 DIV.80	323	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	2	0	6	0	03	125

 1 FET.13	324	1	1	0	0	0	0	0	1	1	2	1	0	0	3	1	0	0	0	6	0	1	0	1	3	0	00	343
